DIRECTORY,FILE,CONF,TEXT
test_images,DSC_0017.JPG,92.0,['#spreadconfettinotthevirus']
test_images,DSC_0017.JPG,0.0,['’']
test_images,DSC_0017.JPG,53.0,['Ww']
test_images,DSC_0017.JPG,83.0,['‘']
test_images,DSC_0017.JPG,37.0,['ule']
test_images,DSC_0017.JPG,11.0,['S']
test_images,DSC_0017.JPG,91.0,['=']
test_images,DSC_0017.JPG,92.5,"['tiftung', 'Berliner']"
test_images,DSC_0017.JPG,56.0,['Cornelsen']
test_images,DSC_0017.JPG,53.0,['X.']
test_images,DSC_0017.JPG,70.0,"['NS', 'Ableton']"
test_images,DSC_0017.JPG,37.333333333333336,"['LIN', 'AL', 'IMG']"
test_images,DSC_0017.JPG,3.0,['ScHuLKINO']
test_images,DSC_0017.JPG,65.5,"['medienboar', 'd']"
test_images,DSC_0017.JPG,58.0,['=']
test_images,DSC_0017.JPG,56.0,['MS']
test_images,DSC_0017.JPG,68.0,['=']
test_images,DSC_0017.JPG,83.0,['|']
test_images,DSC_0017.JPG,0.0,['_—']
test_images,DSC_0017.JPG,50.5,"['|', 'm']"
test_images,DSC_0017.JPG,94.0,"['AGENTA', 'MOON']"
test_images,DSC_0017.JPG,7.0,['a']
test_images,DSC_0017.JPG,27.0,['eB']
test_images,DSC_0017.JPG,44.0,['+']
test_images,DSC_0017.JPG,51.0,['i']
test_images,DSC_0017.JPG,57.0,['Wn']
test_images,DSC_0017.JPG,0.0,['.']
test_images,DSC_0017.JPG,0.0,['ea']
test_images,DSC_0017.JPG,35.0,['h']
test_images,DSC_0017.JPG,35.0,['ot']
test_images,DSC_0017.JPG,46.0,['a']
test_images,DSC_0017.JPG,0.0,['.']
test_images,DSC_0017.JPG,27.0,['Sol']
test_images,DSC_0017.JPG,90.5,"['EUES', 'ENTDECKEN']"
test_images,DSC_0017.JPG,42.0,['5']
test_images,DSC_0017.JPG,45.0,['4']
test_images,DSC_0017.JPG,32.0,['N']
test_images,DSC_0017.JPG,64.0,['A']
test_images,DSC_0017.JPG,10.0,['Er']
test_images,DSC_0017.JPG,86.0,['11.2020']
test_images,DSC_0017.JPG,65.66666666666667,"['1710.', '-', '01']"
test_images,DSC_0017.JPG,91.5,"['LEIPZIGER', 'PLATZ']"
test_images,DSC_0017.JPG,76.33333333333333,"['""MAGENTA', 'MOON', 'GARDEN,']"
test_images,DSC_0017.JPG,96.0,"['WORKSHOPS,', 'TALKS']"
test_images,DSC_0017.JPG,93.66666666666667,"['UND', 'VIELES', 'MEHR']"
test_images,DSC_0017.JPG,56.0,"['taglich', 'CT']"
test_images,DSC_0017.JPG,22.0,['HY']
test_images,DSC_0017.JPG,14.0,['IS']
test_images,DSC_0017.JPG,92.0,['A']
test_images,DSC_0017.JPG,62.0,[')']
test_images,DSC_0017.JPG,96.0,"['Jetzt', 'registrieren', 'auf']"
test_images,DSC_0017.JPG,5.0,['3']
test_images,DSC_0017.JPG,73.0,['A']
test_images,DSC_0017.JPG,28.0,['ses']
test_images,DSC_0017.JPG,39.0,['Li']
test_images,DSC_0017.JPG,91.0,['www.magentamoon.de']
test_images,DSC_0017.JPG,35.0,['il']
test_images,DSC_0017.JPG,39.0,['ms']
test_images,DSC_0017.JPG,25.0,['pi']
test_images,DSC_0017.JPG,40.0,['A']
test_images,DSC_0017.JPG,12.0,['TY']
test_images,DSC_0017.JPG,80.0,['IER']
test_images,DSC_0017.JPG,0.0,['i']
test_images,DSC_0017.JPG,24.0,['>']
test_images,DSC_0017.JPG,32.0,['A)']
test_images,DSC_0017.JPG,64.0,['»']
test_images,DSC_0017.JPG,55.0,['ATIEF']
test_images,DSC_0017.JPG,78.0,"['|', 'VERBOT']"
test_images,DSC_0017.JPG,38.0,['0']
test_images,DSC_0017.JPG,22.0,['La']
test_images,DSC_0017.JPG,0.0,['*']
test_images,DSC_0017.JPG,79.0,['#*']
test_images,DSC_0017.JPG,0.0,['Ss']
test_images,DSC_0017.JPG,25.0,['Ay']
test_images,DSC_0017.JPG,38.0,['*']
test_images,DSC_0017.JPG,25.0,['J']
test_images,DSC_0017.JPG,13.0,['BE']
test_images,DSC_0017.JPG,18.0,['ro']
test_images,DSC_0017.JPG,46.0,['vu']
test_images,DSC_0017.JPG,18.0,['7']
test_images,DSC_0017.JPG,17.0,['FS)']
test_images,DSC_0017.JPG,36.0,['re']
test_images,DSC_0017.JPG,44.0,['iy']
test_images,DSC_0017.JPG,0.0,['&']
test_images,DSC_0017.JPG,18.0,['Ed']
test_images,DSC_0017.JPG,32.0,[':']
test_images,DSC_0017.JPG,0.0,['-']
test_images,DSC_0017.JPG,2.0,['A']
test_images,DSC_0017.JPG,26.0,['Ol']
test_images,DSC_0017.JPG,26.0,['4:']
test_images,DSC_0017.JPG,21.0,['+']
