OEM,PSM,RGB,GRAY,BLUR,THRES,RESC,INV,DIRECTORY,FILE,BLOCKS,CONF,RUNTIME
1,1,False,False,False,False,False,False,test_images,DSC_0017.JPG,10,49.8,13.0
1,1,False,False,False,False,False,False,test_images,DSC_0018.JPG,12,65.2,12.0
1,1,False,False,False,False,False,False,test_images,DSC_0026.JPG,3,68.8,11.0
1,1,False,False,False,False,False,False,test_images,DSC_0040.JPG,24,65.2,12.0
1,1,False,False,False,False,False,False,test_images,DSC_0041.JPG,15,42.3,11.0
1,1,False,False,False,False,False,False,test_images,DSC_0049.JPG,0,nan,12.0
1,1,False,False,False,False,False,False,test_images,DSC_0056.JPG,10,42.4,12.0
1,1,False,False,False,False,False,False,test_images,DSC_0061.JPG,6,66.6,18.0
1,1,False,False,False,False,False,False,test_images,DSC_0068.JPG,5,76.6,12.0
1,1,False,False,False,False,False,False,test_images,IMG_2438.jpg,8,70.8,8.0
1,1,True,False,False,False,False,False,test_images,DSC_0017.JPG,10,58.7,13.0
1,1,True,False,False,False,False,False,test_images,DSC_0018.JPG,12,65.3,12.0
1,1,True,False,False,False,False,False,test_images,DSC_0026.JPG,3,66.0,11.0
1,1,True,False,False,False,False,False,test_images,DSC_0040.JPG,24,60.4,12.0
1,1,True,False,False,False,False,False,test_images,DSC_0041.JPG,15,40.7,11.0
1,1,True,False,False,False,False,False,test_images,DSC_0049.JPG,0,nan,12.0
1,1,True,False,False,False,False,False,test_images,DSC_0056.JPG,10,42.1,11.0
1,1,True,False,False,False,False,False,test_images,DSC_0061.JPG,6,67.5,17.0
1,1,True,False,False,False,False,False,test_images,DSC_0068.JPG,5,74.7,12.0
1,1,True,False,False,False,False,False,test_images,IMG_2438.jpg,8,73.4,8.0
1,1,False,True,False,False,False,False,test_images,DSC_0017.JPG,8,64.2,6.0
1,1,False,True,False,False,False,False,test_images,DSC_0018.JPG,22,53.7,9.0
1,1,False,True,False,False,False,False,test_images,DSC_0026.JPG,12,52.1,9.0
1,1,False,True,False,False,False,False,test_images,DSC_0040.JPG,15,59.1,9.0
1,1,False,True,False,False,False,False,test_images,DSC_0041.JPG,4,46.8,11.0
1,1,False,True,False,False,False,False,test_images,DSC_0049.JPG,0,nan,8.0
1,1,False,True,False,False,False,False,test_images,DSC_0056.JPG,15,40.1,10.0
1,1,False,True,False,False,False,False,test_images,DSC_0061.JPG,4,48.7,11.0
1,1,False,True,False,False,False,False,test_images,DSC_0068.JPG,6,77.7,6.0
1,1,False,True,False,False,False,False,test_images,IMG_2438.jpg,13,73.8,5.0
1,1,True,True,False,False,False,False,test_images,DSC_0017.JPG,8,84.6,6.0
1,1,True,True,False,False,False,False,test_images,DSC_0018.JPG,16,65.3,7.0
1,1,True,True,False,False,False,False,test_images,DSC_0026.JPG,9,58.0,9.0
1,1,True,True,False,False,False,False,test_images,DSC_0040.JPG,10,70.9,8.0
1,1,True,True,False,False,False,False,test_images,DSC_0041.JPG,5,74.8,7.0
1,1,True,True,False,False,False,False,test_images,DSC_0049.JPG,0,nan,8.0
1,1,True,True,False,False,False,False,test_images,DSC_0056.JPG,5,47.1,9.0
1,1,True,True,False,False,False,False,test_images,DSC_0061.JPG,3,52.4,11.0
1,1,True,True,False,False,False,False,test_images,DSC_0068.JPG,2,90.5,6.0
1,1,True,True,False,False,False,False,test_images,IMG_2438.jpg,14,69.5,5.0
1,1,False,False,True,False,False,False,test_images,DSC_0017.JPG,11,57.6,19.0
1,1,False,False,True,False,False,False,test_images,DSC_0018.JPG,12,60.9,14.0
1,1,False,False,True,False,False,False,test_images,DSC_0026.JPG,7,52.0,11.0
1,1,False,False,True,False,False,False,test_images,DSC_0040.JPG,16,70.7,12.0
1,1,False,False,True,False,False,False,test_images,DSC_0041.JPG,6,50.9,13.0
1,1,False,False,True,False,False,False,test_images,DSC_0049.JPG,0,nan,12.0
1,1,False,False,True,False,False,False,test_images,DSC_0056.JPG,10,54.3,14.0
1,1,False,False,True,False,False,False,test_images,DSC_0061.JPG,4,65.9,19.0
1,1,False,False,True,False,False,False,test_images,DSC_0068.JPG,5,85.7,14.0
1,1,False,False,True,False,False,False,test_images,IMG_2438.jpg,5,70.7,10.0
1,1,True,False,True,False,False,False,test_images,DSC_0017.JPG,11,80.4,19.0
1,1,True,False,True,False,False,False,test_images,DSC_0018.JPG,12,61.4,14.0
1,1,True,False,True,False,False,False,test_images,DSC_0026.JPG,7,53.3,11.0
1,1,True,False,True,False,False,False,test_images,DSC_0040.JPG,16,67.1,12.0
1,1,True,False,True,False,False,False,test_images,DSC_0041.JPG,6,53.5,13.0
1,1,True,False,True,False,False,False,test_images,DSC_0049.JPG,0,nan,12.0
1,1,True,False,True,False,False,False,test_images,DSC_0056.JPG,10,54.4,14.0
1,1,True,False,True,False,False,False,test_images,DSC_0061.JPG,4,62.6,19.0
1,1,True,False,True,False,False,False,test_images,DSC_0068.JPG,5,79.4,14.0
1,1,True,False,True,False,False,False,test_images,IMG_2438.jpg,5,68.3,10.0
1,1,False,True,True,False,False,False,test_images,DSC_0017.JPG,6,54.9,7.0
1,1,False,True,True,False,False,False,test_images,DSC_0018.JPG,15,60.0,8.0
1,1,False,True,True,False,False,False,test_images,DSC_0026.JPG,11,47.2,7.0
1,1,False,True,True,False,False,False,test_images,DSC_0040.JPG,13,76.6,7.0
