DIRECTORY,FILE,CONF,TEXT
test_images,DSC_0017.JPG,75.0,"['#spreadconfettinotthevirus', '|']"
test_images,DSC_0017.JPG,0.0,['’']
test_images,DSC_0017.JPG,26.0,['®|']
test_images,DSC_0017.JPG,3.0,['‘']
test_images,DSC_0017.JPG,58.0,['PO']
test_images,DSC_0017.JPG,10.0,['S']
test_images,DSC_0017.JPG,88.0,['=']
test_images,DSC_0017.JPG,92.5,"['tiftung', 'Berliner']"
test_images,DSC_0017.JPG,53.0,['Cornelsen']
test_images,DSC_0017.JPG,55.0,['X.']
test_images,DSC_0017.JPG,71.5,"['IS', 'Ableton']"
test_images,DSC_0017.JPG,37.0,"['LIN', 'ALIN']"
test_images,DSC_0017.JPG,72.0,['ScHyLKINO']
test_images,DSC_0017.JPG,60.0,"['medisnoar', 'd']"
test_images,DSC_0017.JPG,25.0,['oe']
test_images,DSC_0017.JPG,23.0,['f=']
test_images,DSC_0017.JPG,63.0,['=']
test_images,DSC_0017.JPG,85.0,['|']
test_images,DSC_0017.JPG,0.0,['a']
test_images,DSC_0017.JPG,75.0,"['|', '—']"
test_images,DSC_0017.JPG,93.0,"['AGENTA', 'MOON']"
test_images,DSC_0017.JPG,13.0,['Da']
test_images,DSC_0017.JPG,35.0,['he']
test_images,DSC_0017.JPG,33.0,['+']
test_images,DSC_0017.JPG,11.0,['(a']
test_images,DSC_0017.JPG,47.0,['Wn']
test_images,DSC_0017.JPG,65.0,['>']
test_images,DSC_0017.JPG,22.0,['Ea']
test_images,DSC_0017.JPG,0.0,['h']
test_images,DSC_0017.JPG,47.0,['ft']
test_images,DSC_0017.JPG,58.0,['Yu']
test_images,DSC_0017.JPG,73.0,['*']
test_images,DSC_0017.JPG,7.0,['AH']
test_images,DSC_0017.JPG,93.5,"['EUES', 'ENTDECKEN']"
test_images,DSC_0017.JPG,50.0,['a']
test_images,DSC_0017.JPG,39.0,['ZW']
test_images,DSC_0017.JPG,60.0,['A']
test_images,DSC_0017.JPG,19.0,['+']
test_images,DSC_0017.JPG,85.0,['11.2020']
test_images,DSC_0017.JPG,64.33333333333333,"['1710.', '-', '01']"
test_images,DSC_0017.JPG,92.0,"['LEIPZIGER', 'PLATZ']"
test_images,DSC_0017.JPG,76.66666666666667,"['""MAGENTA', 'MOON', 'GARDEN,']"
test_images,DSC_0017.JPG,96.0,"['WORKSHOPS,', 'TALKS']"
test_images,DSC_0017.JPG,93.0,"['UND', 'VIELES', 'MEHR']"
test_images,DSC_0017.JPG,19.5,"['ER', 'CT']"
test_images,DSC_0017.JPG,21.0,['Sn']
test_images,DSC_0017.JPG,36.0,['me']
test_images,DSC_0017.JPG,44.0,['2)']
test_images,DSC_0017.JPG,30.0,[')']
test_images,DSC_0017.JPG,95.0,"['Jetzt', 'registrieren', 'auf']"
test_images,DSC_0017.JPG,10.0,['3']
test_images,DSC_0017.JPG,75.0,['A']
test_images,DSC_0017.JPG,17.0,['ew']
test_images,DSC_0017.JPG,48.0,['Li']
test_images,DSC_0017.JPG,89.0,['www.magentamoon.de']
test_images,DSC_0017.JPG,57.0,['—']
test_images,DSC_0017.JPG,18.0,['SR']
test_images,DSC_0017.JPG,40.0,['pa.']
test_images,DSC_0017.JPG,54.0,['A']
test_images,DSC_0017.JPG,47.0,['YY.']
test_images,DSC_0017.JPG,86.0,['IER']
test_images,DSC_0017.JPG,1.0,['i']
test_images,DSC_0017.JPG,30.0,['Za']
test_images,DSC_0017.JPG,24.0,['A)']
test_images,DSC_0017.JPG,68.0,['»']
test_images,DSC_0017.JPG,62.0,['ATIEF']
test_images,DSC_0017.JPG,94.0,"['|', 'VERBOT']"
test_images,DSC_0017.JPG,52.0,['0']
test_images,DSC_0017.JPG,24.0,['4']
test_images,DSC_0017.JPG,3.0,['U']
test_images,DSC_0017.JPG,30.0,['oe']
test_images,DSC_0017.JPG,0.0,['*']
test_images,DSC_0017.JPG,37.0,['gd']
test_images,DSC_0017.JPG,73.0,['#']
test_images,DSC_0017.JPG,32.0,['He']
test_images,DSC_0017.JPG,35.0,['Foe']
test_images,DSC_0017.JPG,44.0,['hi']
test_images,DSC_0017.JPG,0.0,['>']
test_images,DSC_0017.JPG,43.0,['Fs']
test_images,DSC_0017.JPG,29.0,['ror']
test_images,DSC_0017.JPG,23.0,['on']
test_images,DSC_0017.JPG,77.0,['&']
test_images,DSC_0017.JPG,26.0,['id']
test_images,DSC_0017.JPG,28.0,['a']
test_images,DSC_0017.JPG,73.0,['“']
test_images,DSC_0017.JPG,14.0,['A']
test_images,DSC_0017.JPG,18.0,['EEE']
test_images,DSC_0017.JPG,50.0,['1']
test_images,DSC_0017.JPG,41.0,['4']
test_images,DSC_0017.JPG,0.0,['es']
test_images,DSC_0017.JPG,16.0,['EA']
test_images,DSC_0017.JPG,58.0,['A']
test_images,DSC_0017.JPG,44.0,['hi']
test_images,DSC_0017.JPG,58.0,['4']
test_images,DSC_0017.JPG,44.0,['id']
test_images,DSC_0017.JPG,35.5,"['hi', 'der']"
test_images,DSC_0017.JPG,41.0,['%.']
test_images,DSC_0017.JPG,32.0,['“Sa']
test_images,DSC_0017.JPG,14.0,['a']
test_images,DSC_0017.JPG,16.0,['A']
test_images,DSC_0017.JPG,30.0,['>']
test_images,DSC_0017.JPG,74.0,['=']
test_images,DSC_0017.JPG,17.0,['a']
test_images,DSC_0017.JPG,35.0,['SE']
test_images,DSC_0017.JPG,20.0,['ge']
test_images,DSC_0017.JPG,13.0,"['SN,']"
test_images,DSC_0017.JPG,22.0,['en']
test_images,DSC_0017.JPG,0.0,['>']
test_images,DSC_0017.JPG,17.0,['bd.']
test_images,DSC_0017.JPG,2.0,['wR']
test_images,DSC_0017.JPG,0.0,['5']
test_images,DSC_0017.JPG,53.0,['5']
test_images,DSC_0017.JPG,29.0,['4']
test_images,DSC_0017.JPG,38.0,['>']
test_images,DSC_0017.JPG,0.0,['ya']
test_images,DSC_0017.JPG,27.0,"['oe,']"
test_images,DSC_0017.JPG,18.0,['Er]']
test_images,DSC_0017.JPG,22.0,['a.']
test_images,DSC_0017.JPG,18.0,"['Ll', 'En']"
test_images,DSC_0017.JPG,41.0,['NM']
test_images,DSC_0018.JPG,48.0,['Te']
test_images,DSC_0018.JPG,16.0,"['hey,']"
test_images,DSC_0018.JPG,33.0,"['a', '=']"
test_images,DSC_0018.JPG,10.0,['Di']
test_images,DSC_0018.JPG,51.5,"['>', 'za']"
test_images,DSC_0018.JPG,20.0,['Rr']
test_images,DSC_0018.JPG,35.0,['3']
test_images,DSC_0018.JPG,64.0,['3']
test_images,DSC_0018.JPG,18.0,['Se']
test_images,DSC_0018.JPG,23.0,['Ka.']
test_images,DSC_0018.JPG,34.0,['Es']
test_images,DSC_0018.JPG,41.0,['x']
test_images,DSC_0018.JPG,0.0,['DS']
test_images,DSC_0018.JPG,34.0,['N']
test_images,DSC_0018.JPG,84.0,['>']
test_images,DSC_0018.JPG,39.0,['Lo»']
test_images,DSC_0018.JPG,52.0,['We']
test_images,DSC_0018.JPG,17.0,['aN']
test_images,DSC_0018.JPG,46.0,['ws']
test_images,DSC_0018.JPG,53.5,"['ST', '3']"
test_images,DSC_0018.JPG,43.0,['=']
test_images,DSC_0018.JPG,0.0,['We']
test_images,DSC_0018.JPG,22.5,"['SS', 'A']"
test_images,DSC_0018.JPG,24.0,['oT']
test_images,DSC_0018.JPG,54.0,['%']
test_images,DSC_0018.JPG,43.0,['Alm']
test_images,DSC_0018.JPG,14.0,['x.']
test_images,DSC_0018.JPG,55.0,['wo']
test_images,DSC_0018.JPG,42.0,['x']
test_images,DSC_0018.JPG,83.0,['©']
test_images,DSC_0018.JPG,21.0,['A“']
test_images,DSC_0018.JPG,22.0,['=']
test_images,DSC_0018.JPG,26.0,"['Ne', 're']"
test_images,DSC_0018.JPG,24.0,['wm']
test_images,DSC_0018.JPG,36.0,['Bao‘']
test_images,DSC_0018.JPG,24.333333333333332,"['TA', 'zn', 'av']"
test_images,DSC_0018.JPG,40.0,['Sm']
test_images,DSC_0018.JPG,32.0,['Zn']
test_images,DSC_0018.JPG,42.0,"['pant', '1']"
test_images,DSC_0018.JPG,42.0,"['Pruners,']"
test_images,DSC_0018.JPG,22.0,['ER']
test_images,DSC_0018.JPG,20.0,['=']
test_images,DSC_0018.JPG,0.0,['-']
test_images,DSC_0018.JPG,33.0,"['""a']"
test_images,DSC_0018.JPG,35.5,"['N', '-']"
test_images,DSC_0018.JPG,64.0,['>']
test_images,DSC_0018.JPG,31.0,['„A']
test_images,DSC_0018.JPG,24.0,['yr']
test_images,DSC_0018.JPG,57.0,['~']
test_images,DSC_0018.JPG,25.0,['bi']
test_images,DSC_0018.JPG,23.0,['Mime']
test_images,DSC_0018.JPG,10.0,['es']
test_images,DSC_0018.JPG,32.0,['pe']
test_images,DSC_0018.JPG,29.0,['>']
test_images,DSC_0018.JPG,33.0,['En']
test_images,DSC_0018.JPG,44.0,['3']
test_images,DSC_0018.JPG,0.0,['Ne']
test_images,DSC_0018.JPG,50.0,['x']
test_images,DSC_0018.JPG,44.0,['ee']
test_images,DSC_0018.JPG,9.0,['a']
test_images,DSC_0018.JPG,10.0,['bl']
test_images,DSC_0018.JPG,28.0,['SP']
test_images,DSC_0018.JPG,61.0,['~%']
test_images,DSC_0018.JPG,20.0,['ja']
test_images,DSC_0018.JPG,27.0,"['vr', '&', 'EA']"
test_images,DSC_0018.JPG,18.5,"['ss', 'BN']"
test_images,DSC_0018.JPG,49.0,['le']
test_images,DSC_0018.JPG,39.0,['SONS']
test_images,DSC_0018.JPG,24.0,['lle']
test_images,DSC_0018.JPG,27.0,['TW']
test_images,DSC_0018.JPG,32.0,['ww']
test_images,DSC_0018.JPG,0.0,['Wo']
test_images,DSC_0018.JPG,26.0,['=.']
test_images,DSC_0018.JPG,49.0,['pe']
test_images,DSC_0018.JPG,39.0,['-—']
test_images,DSC_0018.JPG,29.0,['a']
test_images,DSC_0018.JPG,86.0,['~']
test_images,DSC_0018.JPG,50.0,['Sa']
test_images,DSC_0018.JPG,31.0,['>']
test_images,DSC_0018.JPG,35.0,['=']
test_images,DSC_0018.JPG,18.0,['“SR']
test_images,DSC_0018.JPG,55.0,['ale']
test_images,DSC_0018.JPG,31.0,['Ss']
test_images,DSC_0018.JPG,16.0,['>']
test_images,DSC_0018.JPG,29.0,['=']
test_images,DSC_0018.JPG,21.0,['Ns']
test_images,DSC_0018.JPG,43.0,['man']
test_images,DSC_0018.JPG,36.0,"['A', '-']"
test_images,DSC_0018.JPG,4.0,['a']
test_images,DSC_0018.JPG,47.0,['SS']
test_images,DSC_0018.JPG,59.0,['=']
test_images,DSC_0018.JPG,59.0,['x']
test_images,DSC_0018.JPG,6.0,['oS']
test_images,DSC_0018.JPG,35.0,['an']
test_images,DSC_0018.JPG,69.0,['-']
test_images,DSC_0018.JPG,23.0,['=']
test_images,DSC_0018.JPG,41.0,['er']
test_images,DSC_0018.JPG,44.0,['ili']
test_images,DSC_0018.JPG,34.0,['=']
test_images,DSC_0018.JPG,31.0,['een']
test_images,DSC_0018.JPG,48.0,['©']
test_images,DSC_0018.JPG,40.0,"['IN', 'ADS']"
test_images,DSC_0018.JPG,34.0,['Was']
test_images,DSC_0018.JPG,54.0,['>']
test_images,DSC_0018.JPG,90.0,['>']
test_images,DSC_0018.JPG,16.5,"['ol', 'WSN']"
test_images,DSC_0018.JPG,52.0,['a']
test_images,DSC_0018.JPG,47.0,['a']
test_images,DSC_0018.JPG,38.0,['a“']
test_images,DSC_0018.JPG,35.0,['pa']
test_images,DSC_0018.JPG,41.0,['“cl']
test_images,DSC_0018.JPG,2.0,['Se']
test_images,DSC_0018.JPG,40.0,['—']
test_images,DSC_0018.JPG,69.0,['~']
test_images,DSC_0018.JPG,44.0,['w']
test_images,DSC_0018.JPG,48.5,"['Vz', '-']"
test_images,DSC_0018.JPG,59.5,"['>', '—e-']"
test_images,DSC_0018.JPG,45.0,['S']
test_images,DSC_0018.JPG,21.0,['XD']
test_images,DSC_0018.JPG,21.0,['x']
test_images,DSC_0018.JPG,40.0,['me']
test_images,DSC_0018.JPG,29.5,"['i', '—']"
test_images,DSC_0018.JPG,96.0,['=']
test_images,DSC_0018.JPG,26.5,"['=', 'ad,', 'da', 'a;']"
test_images,DSC_0018.JPG,48.0,['Yr']
test_images,DSC_0018.JPG,38.0,['Vem']
test_images,DSC_0018.JPG,27.0,"['VAD', 'TNE', 'nl']"
test_images,DSC_0018.JPG,15.0,['Ea']
test_images,DSC_0018.JPG,35.0,['oo']
test_images,DSC_0018.JPG,59.0,['a']
test_images,DSC_0018.JPG,47.0,"['lr', 'a']"
test_images,DSC_0018.JPG,16.0,['—']
test_images,DSC_0018.JPG,44.0,"['=', 'Wo']"
test_images,DSC_0018.JPG,31.333333333333332,"['oe', 'a', '4']"
test_images,DSC_0018.JPG,0.0,['=F']
test_images,DSC_0018.JPG,43.0,['=']
test_images,DSC_0018.JPG,67.0,['x']
test_images,DSC_0018.JPG,77.0,['=']
test_images,DSC_0018.JPG,28.666666666666668,"['ee', 'Se', '&', 'Sv.', 'eT', '~~»']"
test_images,DSC_0018.JPG,24.0,['Zu']
test_images,DSC_0018.JPG,62.0,"['a,']"
test_images,DSC_0018.JPG,28.0,['“ab']
test_images,DSC_0018.JPG,15.0,['al']
test_images,DSC_0018.JPG,24.0,['a']
test_images,DSC_0018.JPG,31.0,['ra']
test_images,DSC_0018.JPG,41.0,['a']
test_images,DSC_0018.JPG,15.0,"['a,']"
test_images,DSC_0018.JPG,36.5,"['Bass', 'Aa']"
test_images,DSC_0018.JPG,55.0,"['e', '-']"
test_images,DSC_0018.JPG,13.0,['X']
test_images,DSC_0018.JPG,48.0,['x']
test_images,DSC_0018.JPG,10.5,"['E', '%']"
test_images,DSC_0018.JPG,7.0,['ew']
test_images,DSC_0018.JPG,27.0,['I']
test_images,DSC_0018.JPG,27.0,['Se']
test_images,DSC_0018.JPG,24.0,['SEN']
test_images,DSC_0018.JPG,47.0,['Cag']
test_images,DSC_0018.JPG,9.0,"['hat""']"
test_images,DSC_0018.JPG,18.0,['|']
test_images,DSC_0018.JPG,21.0,"['""Wg']"
test_images,DSC_0018.JPG,13.0,['Brom']
test_images,DSC_0018.JPG,52.0,['re']
test_images,DSC_0018.JPG,0.0,[':']
test_images,DSC_0018.JPG,37.0,['3']
test_images,DSC_0018.JPG,16.0,"['<>""']"
test_images,DSC_0018.JPG,91.5,"['Internationales', 'Kurzfilmfestival']"
test_images,DSC_0018.JPG,85.0,['8.—20.']
test_images,DSC_0018.JPG,40.0,['=.']
test_images,DSC_0018.JPG,54.0,['x']
test_images,DSC_0018.JPG,95.5,"['November', '2020']"
test_images,DSC_0018.JPG,95.0,"['für', 'Kinder', 'und', 'Jugendliche', 'Berlin']"
test_images,DSC_0018.JPG,42.0,['Wr']
test_images,DSC_0018.JPG,23.0,['|']
test_images,DSC_0018.JPG,18.0,['3']
test_images,DSC_0018.JPG,0.0,[':']
test_images,DSC_0018.JPG,88.0,['Animationsfilme']
test_images,DSC_0018.JPG,56.0,"['Umweltfilme', 'a']"
test_images,DSC_0018.JPG,77.0,['<']
test_images,DSC_0018.JPG,92.0,"['Doku', '&', 'Fiktion']"
test_images,DSC_0018.JPG,72.0,['¥']
test_images,DSC_0018.JPG,91.0,['Kita-Programm']
test_images,DSC_0018.JPG,38.0,['Pg']
test_images,DSC_0018.JPG,14.0,['he']
test_images,DSC_0018.JPG,59.5,"['“wm', 'TeenScreen']"
test_images,DSC_0018.JPG,91.5,"['Girls*', 'Riot']"
test_images,DSC_0018.JPG,93.33333333333333,"['8', 'Vorstellungen', 'im']"
test_images,DSC_0018.JPG,55.0,['+']
test_images,DSC_0018.JPG,20.0,['x']
test_images,DSC_0018.JPG,93.0,['Workshops']
test_images,DSC_0018.JPG,72.0,['4']
test_images,DSC_0018.JPG,91.0,['richshain']
test_images,DSC_0018.JPG,1.0,['Kindes']
test_images,DSC_0018.JPG,92.0,"['&', 'Jugendjurys']"
test_images,DSC_0018.JPG,57.0,"['EST', 'N', 'Fried']"
test_images,DSC_0018.JPG,1.0,['i']
test_images,DSC_0018.JPG,53.0,['SW']
test_images,DSC_0018.JPG,89.0,['Talks']
test_images,DSC_0018.JPG,93.5,"['Schulvorstellungen', 'online']"
test_images,DSC_0018.JPG,92.0,['Abendvorstellungen']
test_images,DSC_0018.JPG,69.0,['N']
test_images,DSC_0018.JPG,34.0,['AR']
test_images,DSC_0018.JPG,28.0,"['BOSSE', '|']"
test_images,DSC_0018.JPG,77.0,['Im']
test_images,DSC_0018.JPG,72.0,['berlin']
test_images,DSC_0018.JPG,90.0,"['www.', 'kuki-berlin.com']"
test_images,DSC_0018.JPG,91.0,['interfi']
test_images,DSC_0018.JPG,32.5,"['=', 'Va']"
test_images,DSC_0018.JPG,69.0,['~<']
test_images,DSC_0018.JPG,91.0,['#spreadconfettinotthevirus']
test_images,DSC_0018.JPG,96.0,['A']
test_images,DSC_0018.JPG,45.0,['Mh']
test_images,DSC_0018.JPG,21.0,['MN']
test_images,DSC_0018.JPG,33.0,['WOLMEN']
test_images,DSC_0018.JPG,18.0,['#/']
test_images,DSC_0018.JPG,29.0,['MB']
test_images,DSC_0018.JPG,33.0,['dB']
test_images,DSC_0018.JPG,50.75,"['cept', 'Rumzoge', 'MS', 'Ableton']"
test_images,DSC_0018.JPG,85.5,"['SCHULKINO', '25p']"
test_images,DSC_0018.JPG,0.0,['rT']
test_images,DSC_0018.JPG,0.0,['re']
test_images,DSC_0018.JPG,5.0,['On']
test_images,DSC_0018.JPG,32.0,['»']
test_images,DSC_0026.JPG,66.0,['%']
test_images,DSC_0026.JPG,44.0,['al']
test_images,DSC_0026.JPG,33.0,['dl']
test_images,DSC_0026.JPG,69.0,['i)']
test_images,DSC_0026.JPG,83.0,['ly']
test_images,DSC_0026.JPG,47.0,['(Gr']
test_images,DSC_0026.JPG,57.0,['My']
test_images,DSC_0026.JPG,47.0,['ly']
test_images,DSC_0026.JPG,23.0,['iy']
test_images,DSC_0026.JPG,54.0,"['ky,']"
test_images,DSC_0026.JPG,11.0,['I']
test_images,DSC_0026.JPG,65.0,['I']
test_images,DSC_0026.JPG,47.0,"['If,']"
test_images,DSC_0026.JPG,42.0,['di']
test_images,DSC_0026.JPG,33.0,['tp']
test_images,DSC_0026.JPG,54.5,"['I', 'in']"
test_images,DSC_0026.JPG,46.0,"['""in']"
test_images,DSC_0026.JPG,77.0,['|']
test_images,DSC_0026.JPG,37.0,['B=']
test_images,DSC_0026.JPG,50.0,['-']
test_images,DSC_0026.JPG,67.0,"['|', 'B']"
test_images,DSC_0026.JPG,29.0,['By']
test_images,DSC_0026.JPG,73.5,"[']', '|']"
test_images,DSC_0026.JPG,68.0,['\\Y']
test_images,DSC_0026.JPG,62.0,['J']
test_images,DSC_0026.JPG,75.0,"['AL', '|']"
test_images,DSC_0026.JPG,35.0,['in']
test_images,DSC_0026.JPG,37.0,['5']
test_images,DSC_0026.JPG,20.0,['[']
test_images,DSC_0026.JPG,66.0,['CRA']
test_images,DSC_0026.JPG,75.0,"['|', '=']"
test_images,DSC_0026.JPG,96.0,['A']
test_images,DSC_0026.JPG,44.0,['kon']
test_images,DSC_0026.JPG,59.0,['LI']
test_images,DSC_0026.JPG,59.0,"['|', 'gm)']"
test_images,DSC_0026.JPG,18.0,['m———']
test_images,DSC_0026.JPG,34.0,['co']
test_images,DSC_0026.JPG,22.0,"['Sn', 'EE']"
