DIRECTORY,FILE,CONF,TEXT
test_images,DSC_0017.JPG,78.0,"['#spreadconfettinotthevirus', '|']"
test_images,DSC_0017.JPG,0.0,['r']
test_images,DSC_0017.JPG,39.0,['®|']
test_images,DSC_0017.JPG,88.0,['‘']
test_images,DSC_0017.JPG,3.0,['fe']
test_images,DSC_0017.JPG,59.0,['<']
test_images,DSC_0017.JPG,71.0,['Ss']
test_images,DSC_0017.JPG,93.5,"['tiftung', 'Berliner']"
test_images,DSC_0017.JPG,30.0,['[Cornelsen']
test_images,DSC_0017.JPG,10.0,['.&.']
test_images,DSC_0017.JPG,61.5,"['III', 'Ableton']"
test_images,DSC_0017.JPG,41.0,"['cis', 'hie']"
test_images,DSC_0017.JPG,38.0,['ScHULKINO']
test_images,DSC_0017.JPG,48.0,"['medianboat', 'd']"
test_images,DSC_0017.JPG,26.0,['ba']
test_images,DSC_0017.JPG,56.0,"['se', '—']"
test_images,DSC_0017.JPG,91.0,['=']
test_images,DSC_0017.JPG,69.0,['|']
test_images,DSC_0017.JPG,41.0,['—']
test_images,DSC_0017.JPG,34.0,"['Ka,']"
test_images,DSC_0017.JPG,93.5,"['AGENTA', 'MOON']"
test_images,DSC_0017.JPG,47.0,['ee']
test_images,DSC_0017.JPG,3.0,['ee']
test_images,DSC_0017.JPG,11.0,['8']
test_images,DSC_0017.JPG,25.0,['ae']
test_images,DSC_0017.JPG,60.0,['tex.']
test_images,DSC_0017.JPG,68.0,['a.']
test_images,DSC_0017.JPG,38.0,['_']
test_images,DSC_0017.JPG,12.0,['Ibid']
test_images,DSC_0017.JPG,8.0,['tee']
test_images,DSC_0017.JPG,82.0,['*']
test_images,DSC_0017.JPG,16.0,['Soa']
test_images,DSC_0017.JPG,18.0,['Saale']
test_images,DSC_0017.JPG,11.0,['Ei']
test_images,DSC_0017.JPG,21.0,['Ze']
test_images,DSC_0017.JPG,16.0,['si']
test_images,DSC_0017.JPG,9.0,['el']
test_images,DSC_0017.JPG,31.0,['a']
test_images,DSC_0017.JPG,53.0,['11.2020']
test_images,DSC_0017.JPG,77.33333333333333,"['41740.', '-', '01']"
test_images,DSC_0017.JPG,93.5,"['LEIPZIGER', 'PLATZ']"
test_images,DSC_0017.JPG,83.66666666666667,"['MAGENTA', 'MOON', 'GARDEN,']"
test_images,DSC_0017.JPG,91.5,"['WORKSHOPS,', 'TALKS']"
test_images,DSC_0017.JPG,96.0,"['UND', 'VIELES', 'MEHR']"
test_images,DSC_0017.JPG,96.0,"['täglich', 'geöffnet']"
test_images,DSC_0017.JPG,34.0,['3']
test_images,DSC_0017.JPG,38.0,['a']
test_images,DSC_0017.JPG,29.0,['a)']
test_images,DSC_0017.JPG,0.0,['»']
test_images,DSC_0017.JPG,96.0,"['Jetzt', 'registrieren', 'auf']"
test_images,DSC_0017.JPG,0.0,['‘']
test_images,DSC_0017.JPG,33.0,['Bo']
test_images,DSC_0017.JPG,86.0,['T']
test_images,DSC_0017.JPG,91.0,['www.magentamoon.de']
